time,open,high,low,close,volume,ticker,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,target,sentiment_score
2022-10-14,45630,45700,45140,45380,844200,FPT,36.20382780718908,-1776.2116419283266,-249.00238913930025,-1527.2092527890263,43156.105335206856,44694.0,46231.894664793144,6.881884211720339,0.7230321801956023,0,-0.015705719570217467
2022-10-17,45080,45330,44530,45270,706800,FPT,35.801781455871456,-1719.907673716647,-154.1587367420966,-1565.7489369745504,43180.73208309197,44672.0,46163.26791690803,6.676521834294544,0.7005005248285243,1,0.12916788072741858
2022-10-18,45380,46180,45380,45950,879000,FPT,40.22124363042757,-1601.9497764144253,-28.96067155189985,-1572.9891048625254,43964.83222378035,45154.0,46343.16777621965,5.267164708418517,0.8346878446918884,1,0.021811639228118455
2022-10-19,45950,46740,45820,46300,1023700,FPT,42.41846345613269,-1463.3565545803212,87.70604022576345,-1551.0625948060847,44335.2840202954,45534.0,46732.7159797046,5.265146834034335,0.8195085462149122,1,0.04592998459295122
2022-10-20,46500,48140,46180,47720,1730300,FPT,50.38618644855944,-1224.8193402706383,260.99460362835725,-1485.8139438989956,44151.35710276819,46124.0,48096.64289723181,8.553650582047567,0.9045334313269905,-1,-0.05841523560621549
2022-10-21,47660,47660,45330,45330,1564900,FPT,40.28283901242883,-1214.6284248967204,216.94841520182035,-1431.5768400985407,44122.08634725319,46114.0,48105.91365274681,8.639084237961605,0.30320432090043653,-1,-0.21620039940684477
2022-10-24,45330,45700,43540,43610,1426100,FPT,34.864647988165615,-1330.0101473257455,81.25335421823638,-1411.2635015439819,42786.289733635924,45782.0,48777.710266364076,13.086847522450203,0.13748163091950505,1,0.005629579845417182
2022-10-25,43800,45700,43610,44900,1564600,FPT,41.2473908227284,-1302.3461390028897,87.13389003287375,-1389.4800290357634,42489.22851965976,45572.0,48654.77148034024,13.529234970333722,0.39100716607028035,1,0.0015972350223779322
2022-10-26,45700,45700,44600,45270,625100,FPT,42.97348354803846,-1236.3148374507582,122.5321532680041,-1358.8469907187623,42390.68152965113,45366.0,48341.31847034887,13.116953094162469,0.4838672732084469,1,-0.019710708700284407
2022-10-27,45440,46740,45200,46500,935900,FPT,48.40060617249746,-1072.3721956369773,229.17983606542816,-1301.5520317024054,43048.48125159207,45122.0,47195.51874840793,9.190721813784535,0.8322853967580578,-1,0.014594456057649266
2022-10-28,46810,46810,45820,46000,875800,FPT,46.46478044586773,-971.5923800206292,263.96772134542107,-1235.5601013660503,43033.99189920487,45256.0,47478.00810079513,9.81972821634758,0.6674161313214305,1,0.0228605267657168
2022-10-31,46000,46610,45200,46370,1084700,FPT,48.118435502977334,-852.0458876714038,306.8113709557174,-1158.8572586271212,44413.19535418069,45808.0,47202.80464581931,6.089786263619075,0.7014619042474867,0,0.11407337163508842
2022-11-01,46810,47100,46000,46300,561500,FPT,47.81750015542957,-754.258226854523,323.67922541807866,-1077.9374522726016,45102.56608542271,46088.0,47073.43391457729,4.2763145051956695,0.6075668275994637,-1,0.11248543209465883
2022-11-02,46120,46610,45380,45380,978200,FPT,43.928955819171655,-742.4387407233007,268.3989692394407,-1010.8377099627414,45215.125707152605,46110.0,47004.874292847395,3.881476004543027,0.09212148240552445,0,0.10532517885084457
2022-11-03,45700,46440,45200,45440,622400,FPT,44.24738549289371,-719.931294429909,232.725132426266,-952.656426856175,44963.71952819342,45898.0,46832.28047180658,4.0711162656611695,0.2548915910045817,-1,-0.028077877473057775
2022-11-04,45380,45380,43870,44710,1646800,FPT,41.18296214996089,-752.3265283091168,160.26391883764654,-912.5904471467634,44246.80223945086,45640.0,47033.19776054914,6.105161089172397,0.16623546694712157,0,0.10923483798761989
2022-11-07,44530,45380,44530,44530,1572400,FPT,40.439260606974884,-783.4928622223379,103.2780679395405,-886.7709301618784,43870.900431803944,45272.0,46673.099568196056,6.189695918872839,0.2352079692111603,1,-0.08616829975747997
2022-11-08,43870,45330,43800,44970,945000,FPT,43.1421982193289,-763.8825214167737,98.31072699608376,-862.1932484128574,44203.67836873284,45006.0,45808.32163126716,3.565398530272219,0.4775651069365144,1,0.042028171612949417
2022-11-09,44970,45570,44970,45380,697700,FPT,45.61871497402628,-707.1065276640802,124.0693765990219,-831.1759042631021,44203.67836873284,45006.0,45808.32163126716,3.565398530272219,0.733073611270656,-1,-0.010542289346074317
2022-11-10,45080,45200,42380,44770,1595200,FPT,42.64275476626218,-703.2266860895907,102.35937453880922,-805.5860606283999,44222.939139988244,44872.0,45521.060860011756,2.892943751166677,0.4214249338666388,0,-0.0473801373007272
2022-11-11,44830,45140,44150,44650,1002900,FPT,42.061449309410804,-701.7455944162502,83.07237296971982,-784.8179673859701,44193.96696778673,44860.0,45526.03303221327,2.969384896180438,0.34235016144608027,-1,-0.07697349256761439
2022-11-14,44150,44400,42930,43430,1639000,FPT,36.598953875695464,-789.910031487947,-4.073651281581533,-785.8363802063654,43177.9466494005,44640.0,46102.0533505995,6.550418237452944,0.08619841078170841,-1,0.016273474293570914
2022-11-15,42930,42930,40410,40410,3114900,FPT,27.186675665647243,-1090.8945900884137,-244.04656790563854,-846.8480221827751,39757.750637554454,43728.0,47698.249362445546,18.158842674924742,0.08214211538135995,1,-0.09719821188754417
2022-11-16,37590,42930,37590,42500,3050400,FPT,38.897989309715804,-1147.5532090478882,-240.56414949209034,-906.9890595557979,39562.727093128844,43152.0,46741.272906871156,16.635488074115482,0.4091738052640358,1,0.06039647981374219
2022-11-17,42500,44150,39560,43540,1546300,FPT,43.7465789413877,-1095.9033725170084,-151.13145036896844,-944.77192214804,39725.91824004487,42906.0,46086.08175995513,14.823482776092527,0.5996829716744367,1,-0.013688334864344226
2022-11-18,43000,44150,42440,43870,1261700,FPT,45.23167541282525,-1016.6232627276695,-57.481072463703526,-959.142190263966,39943.044353752746,42750.0,45556.955646247254,13.131956239753235,0.6995043992763795,-1,0.00033271976504669807
2022-11-21,42630,44040,42630,43000,840500,FPT,42.07777152687032,-1012.3254757106333,-42.546628357333816,-969.7788473532995,39935.975073427784,42664.0,45392.024926572216,12.788416119314721,0.5615830150097247,1,-0.06673645600949712
2022-11-22,42930,44150,42380,43230,1176300,FPT,43.20524740329239,-979.0742126549958,-7.436292241357023,-971.6379204136388,42183.26079809394,43228.0,44272.73920190606,4.833622660803448,0.5009571766792856,0,0.0024176848085885293
2022-11-23,42930,43540,42750,43230,465900,FPT,43.20524740329239,-941.8651123959644,23.81824641413948,-965.6833588101039,42699.52242439107,43374.0,44048.47757560893,3.110054759113429,0.3932507134355101,0,-0.04135116979432352
2022-11-24,42820,43540,42560,43230,788400,FPT,43.20524740329239,-901.9791778637227,50.963344757105006,-952.9425226208277,42657.11069637739,43312.0,43966.88930362261,3.0240547821509387,0.4373939996069518,1,-0.09441928970312638
2022-11-25,43300,44150,43230,44150,1267400,FPT,48.238860871770044,-787.0602356761956,132.7058295557058,-919.7660652319014,42471.294920277964,43368.0,44264.705079722036,4.135330565034294,0.9360407996363793,1,-0.049214891306122534
2022-11-28,44400,45700,44340,45570,1146800,FPT,54.88511183784778,-574.778326718144,275.99019081100596,-850.7685175291499,41833.46881888528,43882.0,45930.53118111472,9.336544282916542,0.9120025156467149,0,0.10306832278344612
2022-11-29,45950,45950,44770,45570,1143800,FPT,54.88511183784778,-401.91041141804453,359.08648488888434,-760.9968963069289,41999.34051806749,44350.0,46700.65948193251,10.600493717846724,0.7595016439805693,0,-0.05249654247408099
2022-11-30,45700,45950,45080,45760,911500,FPT,55.76648333654619,-246.73571525508305,411.4089448414767,-658.1446600965597,42624.605816983654,44856.0,47087.394183016346,9.94914474325105,0.7025639411630074,0,-0.06898968246830234
2022-12-01,46060,46500,45440,45820,1776500,FPT,56.058425661884115,-117.56197079402045,432.46615144203145,-550.0281222360519,43987.30609001151,45374.0,46760.69390998849,6.112284171501262,0.660814148236831,1,0.03776667474689286
2022-12-02,45820,47660,45380,47480,2901400,FPT,63.27941504741863,117.40391983267182,533.945633654979,-416.54171382230714,44414.51545685629,46040.0,47665.48454314371,7.061183940676426,0.9429448456073956,1,0.026236311578985608
2022-12-05,47840,48450,47480,48020,1216400,FPT,65.27832015331404,343.2329917500829,607.819764457912,-264.58677270782914,44262.57855703906,46530.0,48797.42144296094,9.746062510040584,0.8285670611931464,-1,0.07653122907069743
2022-12-06,48020,48390,46610,46610,1537700,FPT,56.6125815961875,403.77448123808426,534.6890031567307,-130.91452191864647,44735.58146233134,46738.0,48740.41853766866,8.568695869179932,0.4680386498646218,1,-0.0672087769624707
2022-12-07,46560,46980,45890,46920,1029400,FPT,57.93475170252944,471.3351982872264,481.7997761646983,-10.464577877471896,45291.54833254006,46970.0,48648.45166745994,7.14690937815603,0.4851053202873376,1,0.17291320552002526
2022-12-08,47160,48320,46370,47220,1267300,FPT,59.229582229272054,542.8276666500897,442.63379562204926,100.19387102804042,46170.555698519354,47250.0,48329.444301480646,4.569076408383685,0.48610396110348175,1,-0.14896105943175939
2022-12-09,46810,47840,46740,47840,987500,FPT,61.84361942484698,642.1129034967744,433.53522597498716,208.57767752178722,46124.30220840187,47322.0,48519.69779159813,5.0619068999540735,0.7162482070325992,-1,-0.11948908966065999
2022-12-12,47600,47960,46860,47220,1213500,FPT,57.84924321414889,663.1242667983388,363.6372714212413,299.4869953770975,46251.13228183284,47162.0,48072.86771816716,3.862718791260588,0.5318377733907989,0,-0.046912312401629755
2022-12-13,46740,47410,46120,47350,899700,FPT,58.455152465057395,682.3995597918911,306.33005153183484,376.06950826005624,46638.58358673693,47310.0,47981.41641326307,2.838369956724027,0.5297877734367565,-1,0.0725154496752266
2022-12-14,47350,47550,46670,46810,1158000,FPT,54.92336596095214,646.647728834796,216.46257645979182,430.1851523750042,46548.89243002183,47288.0,48027.10756997817,3.1259836321188135,0.17663705567640406,1,0.07457125994829981
2022-12-15,46860,47890,46860,47660,1170500,FPT,59.111168483829026,679.0740979842594,199.11115648740417,479.96294149685525,46575.17542495311,47376.0,48176.82457504689,3.380718401920349,0.6773172357899796,0,0.0989107868537295
2022-12-16,47220,47840,46860,47780,910900,FPT,59.68067018231125,706.3132863721912,181.08027590026882,525.2330104719224,46596.84942807879,47364.0,48131.15057192121,3.239382534926135,0.7711332137563254,-1,0.02483491205270494
2022-12-19,48020,48020,46980,46980,1026200,FPT,54.255339281200605,655.787712757352,104.44376182834367,551.3439509290083,46477.11979401166,47316.0,48154.88020598834,3.5458627356003816,0.2997330264789494,0,0.039623340600018715
2022-12-20,47350,47350,46240,46980,785800,FPT,54.255339281200605,608.7287851359579,45.907867365559696,562.8209177703982,46354.261299706355,47242.0,48129.738700293645,3.758260447456267,0.35243405524996485,1,-0.0944285755892502
2022-12-21,47350,47480,46440,47350,544100,FPT,56.38219229842309,594.4378442914312,25.293541216826384,569.1443030746049,46605.15102201921,47350.0,48094.84897798079,3.1461414064658637,0.5,0,-0.026744149678327295
